"ff","Dim2","rr","Val"
"lnd","pdr","CHN",20.1260270624697
"lnd","pdr","JPN",5.73381106216441
"lnd","pdr","KOR",3.33842614087337
"lnd","pdr","TWN",0.283601970877416
"lnd","pdr","IND",9.87750511369547
"lnd","pdr","USA",0.424230970146841
"lnd","pdr","MEX",0.0117478104177806
"lnd","pdr","BRA",0.379903787603129
"lnd","pdr","RUS",0.120251774374461
"lnd","pdr","LAM",1.32489026045744
"lnd","pdr","EUR",0.12786689813195
"lnd","pdr","ROE",0.138062269183422
"lnd","pdr","ASI",5.68866747194555
"lnd","pdr","REA",12.7810360578735
"lnd","pdr","ANZ",0.0275532430552463
"lnd","pdr","MES",0.306698170874327
"lnd","pdr","AFR",2.26961660187512
"lnd","pdr","IDZ",9.01855016288459
"lnd","wht","CHN",7.23553666993609
"lnd","wht","JPN",0.0553162790416662
"lnd","wht","IND",6.17443874708925
"lnd","wht","CAN",0.647929964990263
"lnd","wht","USA",4.3659937397704
"lnd","wht","MEX",0.1514458533301
"lnd","wht","BRA",0.224192515620565
"lnd","wht","RUS",1.79912061764116
"lnd","wht","LAM",1.44971412612259
"lnd","wht","EUR",3.66447147132327
"lnd","wht","ROE",1.79744943837808
"lnd","wht","REA",2.82206528611803
"lnd","wht","ANZ",1.0295560434282
"lnd","wht","MES",0.893921232444523
"lnd","wht","AFR",0.953319492083964
"lnd","gro","CHN",13.1677988711194
"lnd","gro","TWN",0.0541325681117494
"lnd","gro","IND",3.67694747939618
"lnd","gro","CAN",0.330769483696097
"lnd","gro","USA",13.5044294384201
"lnd","gro","MEX",1.27892720777555
"lnd","gro","BRA",1.46665599566412
"lnd","gro","RUS",0.913930856458865
"lnd","gro","LAM",3.12472258781399
"lnd","gro","EUR",4.30128115674397
"lnd","gro","ROE",1.54548757547498
"lnd","gro","ASI",1.16445282967349
"lnd","gro","REA",0.822520778679558
"lnd","gro","ANZ",0.240107256694087
"lnd","gro","MES",0.769429338918818
"lnd","gro","AFR",5.39565415953505
"lnd","gro","IDZ",2.17948710224884
"lnd","v_f","CHN",68.3495995200946
"lnd","v_f","JPN",3.52358527989932
"lnd","v_f","KOR",4.66615438213539
"lnd","v_f","TWN",1.26343336579244
"lnd","v_f","IND",34.56302643045
"lnd","v_f","CAN",0.534644000610611
"lnd","v_f","USA",11.3659764861396
"lnd","v_f","MEX",4.00936476048586
"lnd","v_f","BRA",0.54166640019703
"lnd","v_f","RUS",5.95618914576765
"lnd","v_f","LAM",8.99767067617592
"lnd","v_f","EUR",8.72414748601562
"lnd","v_f","ROE",8.10156367921837
"lnd","v_f","ASI",6.94655181894046
"lnd","v_f","REA",10.4882875327242
"lnd","v_f","ANZ",1.48870137060196
"lnd","v_f","MES",3.705917065422
"lnd","v_f","AFR",15.2964223086439
"lnd","v_f","IDZ",12.8973617094226
"lnd","osd","CHN",11.9421551416138
"lnd","osd","JPN",0.0380492177388142
"lnd","osd","KOR",0.275776626677917
"lnd","osd","IND",8.95224955151787
"lnd","osd","CAN",0.85800086617885
"lnd","osd","USA",7.40150853152529
"lnd","osd","MEX",0.0157156111580073
"lnd","osd","BRA",3.11982785739606
"lnd","osd","RUS",0.581795545901037
"lnd","osd","LAM",4.3903867966797
"lnd","osd","EUR",2.21438890613219
"lnd","osd","ROE",0.76785747311688
"lnd","osd","ASI",6.39650304959601
"lnd","osd","REA",1.59035089187498
"lnd","osd","ANZ",0.286255218248162
"lnd","osd","MES",0.197927611058737
"lnd","osd","AFR",2.60795737240794
"lnd","osd","IDZ",5.41683835467459
"lnd","c_b","CHN",1.83682818846638
"lnd","c_b","JPN",0.0842740696997302
"lnd","c_b","TWN",0.0352908739810985
"lnd","c_b","IND",4.97367672946532
"lnd","c_b","CAN",0.0404360933040102
"lnd","c_b","USA",0.700018133976968
"lnd","c_b","MEX",0.598903856472416
"lnd","c_b","BRA",3.29881947902164
"lnd","c_b","RUS",0.335911455343178
"lnd","c_b","LAM",1.28898710460388
"lnd","c_b","EUR",0.52178434028513
"lnd","c_b","ROE",0.272204336762019
"lnd","c_b","ASI",1.09457838670744
"lnd","c_b","REA",1.37964127765276
"lnd","c_b","ANZ",0.16667743006413
"lnd","c_b","MES",0.0546037183768021
"lnd","c_b","AFR",0.575087000448463
"lnd","c_b","IDZ",0.585444146214782
"lnd","pfb","CHN",2.79547952912854
"lnd","pfb","TWN",0.0108464358714236
"lnd","pfb","IND",5.47186493084221
"lnd","pfb","CAN",0.0105140205695318
"lnd","pfb","USA",2.16163019505569
"lnd","pfb","MEX",0.138410164428143
"lnd","pfb","BRA",0.502301679258388
"lnd","pfb","RUS",0.0011761406863697
"lnd","pfb","LAM",0.272773384068517
"lnd","pfb","EUR",0.152097270762668
"lnd","pfb","ROE",0.660580411049143
"lnd","pfb","ASI",0.0709225471885055
"lnd","pfb","REA",2.00811310871752
"lnd","pfb","ANZ",0.0977671837654717
"lnd","pfb","MES",0.379374990303312
"lnd","pfb","AFR",0.71829733221624
"lnd","pfb","IDZ",0.0398959382040913
"lnd","ocr","CHN",1.85791723660305
"lnd","ocr","JPN",2.31671983647955
"lnd","ocr","KOR",1.52750047465514
"lnd","ocr","TWN",0.128783372474486
"lnd","ocr","IND",21.2448462138509
"lnd","ocr","CAN",0.270865714265762
"lnd","ocr","USA",4.26224446901877
"lnd","ocr","MEX",1.22072970928257
"lnd","ocr","BRA",4.29391258364745
"lnd","ocr","RUS",0.0148762365859687
"lnd","ocr","LAM",6.60804540566653
"lnd","ocr","EUR",8.12183474286236
"lnd","ocr","ROE",0.750723201366788
"lnd","ocr","ASI",1.83160716678575
"lnd","ocr","REA",5.08965649158447
"lnd","ocr","ANZ",0.878224034222484
"lnd","ocr","MES",0.253611918598514
"lnd","ocr","AFR",2.74200290685337
"lnd","ocr","IDZ",9.51197296477288
"lnd","ctl","CHN",12.005398273752
"lnd","ctl","JPN",0.347924492857188
"lnd","ctl","KOR",0.585641979902433
"lnd","ctl","TWN",0.00568999380303254
"lnd","ctl","IND",2.94274249517582
"lnd","ctl","CAN",0.226983722111614
"lnd","ctl","USA",3.4281709226767
"lnd","ctl","MEX",0.384776791910557
"lnd","ctl","BRA",2.74253498722934
"lnd","ctl","RUS",0.663250634522363
"lnd","ctl","LAM",3.7957907422177
"lnd","ctl","EUR",2.49341018939923
"lnd","ctl","ROE",1.2353800032384
"lnd","ctl","ASI",0.760685793255482
"lnd","ctl","REA",3.93374326636054
"lnd","ctl","ANZ",1.37202457666037
"lnd","ctl","MES",0.569375560214712
"lnd","ctl","AFR",2.36079991770714
"lnd","ctl","IDZ",0.857574632245206
"lnd","oap","CHN",37.9171885254632
"lnd","oap","JPN",0.492332145315801
"lnd","oap","KOR",0.66669481453303
"lnd","oap","TWN",0.585198770966409
"lnd","oap","IND",5.85243162381242
"lnd","oap","CAN",0.333665004835182
"lnd","oap","USA",3.37394472580847
"lnd","oap","MEX",1.05702702063414
"lnd","oap","BRA",1.99354622859065
"lnd","oap","RUS",1.10056797377009
"lnd","oap","LAM",3.92485850483162
"lnd","oap","EUR",6.44665212776342
"lnd","oap","ROE",1.49507511323492
"lnd","oap","ASI",4.94899900416157
"lnd","oap","REA",2.6928195391856
"lnd","oap","ANZ",0.439543898477225
"lnd","oap","MES",0.877358392504124
"lnd","oap","AFR",1.36105819115981
"lnd","oap","IDZ",2.00638969040226
"lnd","rmk","CHN",3.24800336679272
"lnd","rmk","JPN",0.657787081238515
"lnd","rmk","KOR",0.31039871539489
"lnd","rmk","TWN",0.0273973567852656
"lnd","rmk","IND",25.4407744667959
"lnd","rmk","CAN",0.32782772221488
"lnd","rmk","USA",2.31588256808446
"lnd","rmk","MEX",0.400721234634262
"lnd","rmk","BRA",1.21751680708789
"lnd","rmk","RUS",1.48804191848281
"lnd","rmk","LAM",2.55034193182873
"lnd","rmk","EUR",6.71474454909916
"lnd","rmk","ROE",1.67422071499285
"lnd","rmk","ASI",0.159185637909642
"lnd","rmk","REA",2.16851710180166
"lnd","rmk","ANZ",1.15564613660965
"lnd","rmk","MES",1.17141210196173
"lnd","rmk","AFR",0.526775045512862
"lnd","rmk","IDZ",0.078105783704422
"lnd","wol","CHN",2.08385790131708
"lnd","wol","JPN",0.0704253375981946
"lnd","wol","KOR",0.0353774392856787
"lnd","wol","IND",0.535066313434571
"lnd","wol","CAN",0.000433613912347955
"lnd","wol","BRA",0.458811464872939
"lnd","wol","RUS",0.0345687297856804
"lnd","wol","LAM",0.135897841608463
"lnd","wol","EUR",0.0546394578696522
"lnd","wol","ROE",0.174005844446286
"lnd","wol","ASI",0.021212907263623
"lnd","wol","REA",0.186996454967115
"lnd","wol","ANZ",0.187914494902836
"lnd","wol","MES",0.046555401385779
"lnd","wol","AFR",0.129316377361685
"lnd","wol","IDZ",0.0568950175244434
"lab","isr","CHN",28.1522690257735
"lab","isr","JPN",47.9818808879805
"lab","isr","KOR",5.97390209854209
"lab","isr","TWN",4.67640823949743
"lab","isr","IND",6.21748807483769
"lab","isr","CAN",7.73520266121729
"lab","isr","USA",208.007531487317
"lab","isr","MEX",1.3938266145739
"lab","isr","BRA",14.4311460741467
"lab","isr","RUS",2.40418312848241
"lab","isr","LAM",10.6897903555197
"lab","isr","EUR",75.7914124336954
"lab","isr","ROE",2.20285712108293
"lab","isr","ASI",3.99889131654506
"lab","isr","REA",1.75773736886784
"lab","isr","ANZ",10.7864523031977
"lab","isr","MES",1.53018325821897
"lab","isr","AFR",17.8945393108476
"lab","isr","IDZ",1.87237025118443
"lab","obs","CHN",198.007037057129
"lab","obs","JPN",290.517800500253
"lab","obs","KOR",55.4321331057627
"lab","obs","TWN",11.1328417382969
"lab","obs","IND",62.5763670004088
"lab","obs","CAN",105.447477950323
"lab","obs","USA",1113.75422705782
"lab","obs","MEX",30.5886335712977
"lab","obs","BRA",72.445787732465
"lab","obs","RUS",34.2644835096369
"lab","obs","LAM",59.2582335006931
"lab","obs","EUR",905.306233478238
"lab","obs","ROE",28.8100464318784
"lab","obs","ASI",40.9963193070283
"lab","obs","REA",16.3261168829058
"lab","obs","ANZ",107.11498295021
"lab","obs","MES",31.7553873217646
"lab","obs","AFR",47.4769853371856
"lab","obs","IDZ",4.32438754816724
"lab","ros","CHN",115.695512830249
"lab","ros","JPN",72.6410486207909
"lab","ros","KOR",14.9570128990383
"lab","ros","TWN",9.96286949503515
"lab","ros","IND",3.96584588752862
"lab","ros","CAN",18.4069035699985
"lab","ros","USA",315.579356332891
"lab","ros","MEX",20.2490679014605
"lab","ros","BRA",36.6445049418305
"lab","ros","RUS",5.43801343578868
"lab","ros","LAM",42.4056517183346
"lab","ros","EUR",220.615983048961
"lab","ros","ROE",20.1434206801693
"lab","ros","ASI",10.5490662666532
"lab","ros","REA",9.52066531520995
"lab","ros","ANZ",21.0763291391922
"lab","ros","MES",13.9548001176045
"lab","ros","AFR",25.6586180297925
"lab","ros","IDZ",13.6567253379268
"lab","osg","CHN",706.085955950578
"lab","osg","JPN",701.526710493766
"lab","osg","KOR",141.630874275882
"lab","osg","TWN",48.783345424243
"lab","osg","IND",184.084996306414
"lab","osg","CAN",254.878959988431
"lab","osg","USA",2553.43383732727
"lab","osg","MEX",102.917616283608
"lab","osg","BRA",313.073881155683
"lab","osg","RUS",165.94466375495
"lab","osg","LAM",263.389055008097
"lab","osg","EUR",2032.62576289473
"lab","osg","ROE",119.725921550502
"lab","osg","ASI",91.6891998890784
"lab","osg","REA",37.9905569846803
"lab","osg","ANZ",202.315292099953
"lab","osg","MES",154.774016613479
"lab","osg","AFR",205.05982580134
"lab","osg","IDZ",51.6312642871004
"lab","dwe","CHN",34.6417048198031
"lab","dwe","JPN",7.02235281103188
"lab","dwe","KOR",0.0025754368372497
"lab","dwe","TWN",0.000173364388571927
"lab","dwe","IND",12.1437976658342
"lab","dwe","CAN",0.43755316182723
"lab","dwe","USA",4.91697054724404
"lab","dwe","MEX",0.552805949989409
"lab","dwe","BRA",5.26785123099236
"lab","dwe","RUS",0.432840809362938
"lab","dwe","LAM",38.9523239197404
"lab","dwe","EUR",9.90610041194396
"lab","dwe","ROE",1.55766767569478
"lab","dwe","ASI",0.01711025009256
"lab","dwe","REA",1.79607553798632
"lab","dwe","ANZ",0.00522931035180872
"lab","dwe","MES",6.47186453043394
"lab","dwe","AFR",2.23967465789054
"lab","dwe","IDZ",2.46974909533136
"lab","pdr","CHN",34.005348614107
"lab","pdr","JPN",6.18193378214414
"lab","pdr","KOR",2.03301822272929
"lab","pdr","TWN",0.35347155624943
"lab","pdr","IND",8.53057227386033
"lab","pdr","USA",0.474639907449399
"lab","pdr","MEX",0.018544182398479
"lab","pdr","BRA",0.460966424450558
"lab","pdr","RUS",0.206957135421195
"lab","pdr","LAM",2.08813276988991
"lab","pdr","EUR",0.452654297364978
"lab","pdr","ROE",0.281152962233486
"lab","pdr","ASI",5.692023950786
"lab","pdr","REA",11.0044618325885
"lab","pdr","ANZ",0.0693050498922355
"lab","pdr","MES",1.42639736801399
"lab","pdr","AFR",11.7497389610536
"lab","pdr","IDZ",7.36071263262152
"lab","wht","CHN",10.4547611918387
"lab","wht","JPN",0.151326667133361
"lab","wht","IND",5.33247002900218
"lab","wht","CAN",1.43467729338174
"lab","wht","USA",3.83061085441805
"lab","wht","MEX",0.239532482204859
"lab","wht","BRA",0.272143046035374
"lab","wht","RUS",3.09591403899711
"lab","wht","LAM",2.29559818841218
"lab","wht","EUR",9.28263262374428
"lab","wht","ROE",4.20651988728719
"lab","wht","REA",2.53231915239312
"lab","wht","ANZ",2.51827089018975
"lab","wht","MES",3.88609839784884
"lab","wht","AFR",4.88187546302548
"lab","gro","CHN",18.5829549982359
"lab","gro","TWN",0.0674148141881161
"lab","gro","IND",3.17554595877966
"lab","gro","CAN",0.627232268548332
"lab","gro","USA",12.3485518752988
"lab","gro","MEX",2.01985922304909
"lab","gro","BRA",1.780607258283
"lab","gro","RUS",1.57304141182558
"lab","gro","LAM",5.05437351424649
"lab","gro","EUR",9.64625261993329
"lab","gro","ROE",3.23458256302169
"lab","gro","ASI",1.40205660462475
"lab","gro","REA",0.824820312139262
"lab","gro","ANZ",0.61101061501507
"lab","gro","MES",3.46998963567951
"lab","gro","AFR",27.628557642565
"lab","gro","IDZ",1.77868287174975
"lab","v_f","CHN",123.95293867913
"lab","v_f","JPN",8.92668822312419
"lab","v_f","KOR",3.60173060761236
"lab","v_f","TWN",1.57473943731025
"lab","v_f","IND",29.8498889904474
"lab","v_f","CAN",1.18705516117577
"lab","v_f","USA",13.9532659725795
"lab","v_f","MEX",6.32738357452332
"lab","v_f","BRA",0.653644780997583
"lab","v_f","RUS",10.2393873173411
"lab","v_f","LAM",14.4624874491262
"lab","v_f","EUR",28.7339423390984
"lab","v_f","ROE",23.0543788583608
"lab","v_f","ASI",6.89474660203366
"lab","v_f","REA",9.11277882297487
"lab","v_f","ANZ",3.86420700596886
"lab","v_f","MES",16.0042060603162
"lab","v_f","AFR",78.7646200347873
"lab","v_f","IDZ",10.525771406815
"lab","osd","CHN",14.6064954798804
"lab","osd","JPN",0.102777803956764
"lab","osd","KOR",0.211886853393898
"lab","osd","IND",7.73148874624602
"lab","osd","CAN",1.80337119804769
"lab","osd","USA",7.40317463608413
"lab","osd","MEX",0.0247636033333188
"lab","osd","BRA",3.78774328145453
"lab","osd","RUS",1.00136952367057
"lab","osd","LAM",6.93536038488575
"lab","osd","EUR",5.12650882456418
"lab","osd","ROE",1.55931141411445
"lab","osd","ASI",5.51786499235865
"lab","osd","REA",1.37214797814988
"lab","osd","ANZ",0.658647845343468
"lab","osd","MES",0.902666284487765
"lab","osd","AFR",13.411396211372
"lab","osd","IDZ",4.42077128047515
"lab","c_b","CHN",3.40669188223933
"lab","c_b","JPN",0.229918814656431
"lab","c_b","TWN",0.0439874710248175
"lab","c_b","IND",4.29544779498167
"lab","c_b","CAN",0.101385078838942
"lab","c_b","USA",0.806124674539607
"lab","c_b","MEX",0.945111789127042
"lab","c_b","BRA",4.00547877793656
"lab","c_b","RUS",0.578175559278044
"lab","c_b","LAM",2.08307787430203
"lab","c_b","EUR",1.35227482192225
"lab","c_b","ROE",0.690588474552552
"lab","c_b","ASI",1.09080790604296
"lab","c_b","REA",1.20152391035255
"lab","c_b","ANZ",0.4115246677449
"lab","c_b","MES",0.253182536903812
"lab","c_b","AFR",2.821910745743
"lab","c_b","IDZ",0.47777331082778
"lab","pfb","CHN",5.19022125920334
"lab","pfb","TWN",0.0135191046821423
"lab","pfb","IND",4.72570161709448
"lab","pfb","CAN",0.026384820324232
"lab","pfb","USA",1.80445125122159
"lab","pfb","MEX",0.218423532239584
"lab","pfb","BRA",0.609876604027845
"lab","pfb","RUS",0.00202214484355925
"lab","pfb","LAM",0.436102657876075
"lab","pfb","EUR",0.566924518760175
"lab","pfb","ROE",1.45165388914767
"lab","pfb","ASI",0.0729845637851511
"lab","pfb","REA",1.75252060712971
"lab","pfb","ANZ",0.26553780641376
"lab","pfb","MES",1.66926417413379
"lab","pfb","AFR",3.74076997843457
"lab","pfb","IDZ",0.0325600299717056
"lab","ocr","CHN",2.93192563645011
"lab","ocr","JPN",5.86929992039523
"lab","ocr","KOR",1.18130411193693
"lab","ocr","TWN",0.160513758285379
"lab","ocr","IND",18.3478227880782
"lab","ocr","CAN",1.13099280542115
"lab","ocr","USA",4.92404994899917
"lab","ocr","MEX",1.92641291281348
"lab","ocr","BRA",5.18162054631004
"lab","ocr","RUS",0.0255726897143586
"lab","ocr","LAM",10.6743576967949
"lab","ocr","EUR",24.127458124606
"lab","ocr","ROE",1.68852489966002
"lab","ocr","ASI",1.79764868080617
"lab","ocr","REA",4.63535812837326
"lab","ocr","ANZ",1.85095908880385
"lab","ocr","MES",1.11193264141784
"lab","ocr","AFR",14.34970240156
"lab","ocr","IDZ",7.76274256447589
"lab","ctl","CHN",24.5489818437842
"lab","ctl","JPN",0.879932645061178
"lab","ctl","KOR",0.452196214288714
"lab","ctl","TWN",0.00709052282836485
"lab","ctl","IND",2.54145958715405
"lab","ctl","CAN",0.491841928191182
"lab","ctl","USA",4.4281287255599
"lab","ctl","MEX",0.619701007955164
"lab","ctl","BRA",3.30951131739747
"lab","ctl","RUS",1.13977174148174
"lab","ctl","LAM",6.04247619242627
"lab","ctl","EUR",7.35090507180929
"lab","ctl","ROE",3.17089622299376
"lab","ctl","ASI",0.820510656790738
"lab","ctl","REA",3.59623635702062
"lab","ctl","ANZ",3.71468335149278
"lab","ctl","MES",2.4742087336053
"lab","ctl","AFR",11.3314639372469
"lab","ctl","IDZ",0.699949797297408
"lab","oap","CHN",77.2480667808726
"lab","oap","JPN",1.25195600850528
"lab","oap","KOR",0.524271650508648
"lab","oap","TWN",0.729389766069908
"lab","oap","IND",5.05437292263101
"lab","oap","CAN",0.742103248126551
"lab","oap","USA",4.3565321224288
"lab","oap","MEX",1.70256101022061
"lab","oap","BRA",2.40568317678481
"lab","oap","RUS",1.89128341401661
"lab","oap","LAM",6.39850082542149
"lab","oap","EUR",17.4813722236549
"lab","oap","ROE",3.30699380726027
"lab","oap","ASI",5.43084194544352
"lab","oap","REA",2.40197443278404
"lab","oap","ANZ",1.15517279195647
"lab","oap","MES",3.8365894948849
"lab","oap","AFR",6.37795659244872
"lab","oap","IDZ",1.63743439239491
"lab","rmk","CHN",6.64974557527433
"lab","rmk","JPN",1.67341604428858
"lab","rmk","KOR",0.240138530577705
"lab","rmk","TWN",0.0341477400304805
"lab","rmk","IND",21.9715768944309
"lab","rmk","CAN",0.819602971762254
"lab","rmk","USA",2.99343920505403
"lab","rmk","MEX",0.64550916245677
"lab","rmk","BRA",1.46922084547265
"lab","rmk","RUS",2.55714396091726
"lab","rmk","LAM",4.06895691431867
"lab","rmk","EUR",18.8395057093581
"lab","rmk","ROE",4.19554425817785
"lab","rmk","ASI",0.129792999416586
"lab","rmk","REA",2.12526940161866
"lab","rmk","ANZ",3.76896869618094
"lab","rmk","MES",5.18309759628285
"lab","rmk","AFR",2.55576425902441
"lab","rmk","IDZ",0.0637484659599104
"lab","wol","CHN",4.26659220247118
"lab","wol","JPN",0.179197532539668
"lab","wol","KOR",0.0273497830189965
"lab","wol","IND",0.462102732931841
"lab","wol","CAN",0.00106892662860974
"lab","wol","BRA",0.553664744147895
"lab","wol","RUS",0.0594050120021753
"lab","wol","LAM",0.211534889514565
"lab","wol","EUR",0.0849020169766998
"lab","wol","ROE",0.349739095950075
"lab","wol","ASI",0.0172002933102422
"lab","wol","REA",0.218363891315253
"lab","wol","ANZ",0.527399120928058
"lab","wol","MES",0.201385822777281
"lab","wol","AFR",0.615990144753924
"lab","wol","IDZ",0.046432605042183
"lab","frs","CHN",29.8249258817292
"lab","frs","JPN",0.690843151043901
"lab","frs","KOR",0.128766581335678
"lab","frs","TWN",0.0676997469758197
"lab","frs","IND",7.9340695099453
"lab","frs","CAN",3.14101547771081
"lab","frs","USA",3.06466906750793
"lab","frs","MEX",0.478284133903906
"lab","frs","BRA",3.34939149639871
"lab","frs","RUS",2.74401141026873
"lab","frs","LAM",2.43790849744401
"lab","frs","EUR",7.50575659492364
"lab","frs","ROE",1.57066721230708
"lab","frs","ASI",2.0068416547175
"lab","frs","REA",2.52055405524844
"lab","frs","ANZ",1.22081130478563
"lab","frs","MES",0.347472130805742
"lab","frs","AFR",5.37940629195282
"lab","frs","IDZ",2.44790008605472
"lab","fsh","CHN",32.9387038366432
"lab","fsh","JPN",1.39202008357541
"lab","fsh","KOR",0.672393680867347
"lab","fsh","TWN",0.367309505894006
"lab","fsh","IND",4.23485963136907
"lab","fsh","CAN",0.528134657291587
"lab","fsh","USA",1.13312412868049
"lab","fsh","MEX",0.159616680144149
"lab","fsh","BRA",0.970209651377828
"lab","fsh","RUS",0.481150762160776
"lab","fsh","LAM",1.84356159977358
"lab","fsh","EUR",2.4193487983702
"lab","fsh","ROE",0.508143361839209
"lab","fsh","ASI",2.52642608184337
"lab","fsh","REA",2.89959280737946
"lab","fsh","ANZ",0.374556228223949
"lab","fsh","MES",0.246824033473356
"lab","fsh","AFR",5.3871327363002
"lab","fsh","IDZ",2.72195865571102
"lab","coa","CHN",27.8241789498293
"lab","coa","KOR",0.0460853091159485
"lab","coa","IND",1.76828413052982
"lab","coa","CAN",1.43233284401704
"lab","coa","USA",9.00440211622004
"lab","coa","MEX",0.0630249142469646
"lab","coa","BRA",0.0238428521501382
"lab","coa","RUS",3.71576273958563
"lab","coa","LAM",0.750995099788859
"lab","coa","EUR",7.37317559086737
"lab","coa","ROE",3.14127632723179
"lab","coa","ASI",0.151629263288619
"lab","coa","REA",0.829880996110468
"lab","coa","ANZ",3.59064112592744
"lab","coa","MES",0.0314033071128919
"lab","coa","AFR",1.11566770281023
"lab","coa","IDZ",2.51987616344451
"lab","oil","CHN",14.9556265550162
"lab","oil","IND",3.54070725335526
"lab","oil","CAN",5.23025065276819
"lab","oil","USA",24.394020906698
"lab","oil","MEX",0.9389663160238
"lab","oil","BRA",2.902457208473
"lab","oil","RUS",16.5787384600571
"lab","oil","LAM",13.6281560946607
"lab","oil","EUR",6.00534369162603
"lab","oil","ROE",5.69825292684051
"lab","oil","ASI",4.1532653484007
"lab","oil","REA",1.0253957932166
"lab","oil","ANZ",1.33913739776694
"lab","oil","MES",51.2870317426577
"lab","oil","AFR",19.0809116477298
"lab","oil","IDZ",1.51933985756062
"lab","gas","CHN",0.278129603402482
"lab","gas","JPN",0.462685887680935
"lab","gas","KOR",0.0220859322963223
"lab","gas","TWN",0.0140515183038699
"lab","gas","IND",0.794484957164128
